Tip Matrice,Nr threads,Timp executie
Matrice 10x10,secvential,169540 ns
Matrice 10x10,4,4178620 ns
Matrice 10x10,4,4120050 ns
Matrice 1000x1000,secvential,42570040 ns
Matrice 1000x1000,2,32847250 ns
Matrice 1000x1000,4,30015950 ns
Matrice 1000x1000,8,30551090 ns
Matrice 1000x1000,16,35191180 ns
Matrice 1000x1000,2,31528220 ns
Matrice 1000x1000,4,28582310 ns
Matrice 1000x1000,8,30257470 ns
Matrice 1000x1000,16,35442960 ns
Matrice 10x10000,secvential,9695500 ns
Matrice 10x10000,2,12314810 ns
Matrice 10x10000,4,14115190 ns
Matrice 10x10000,8,15059390 ns
Matrice 10x10000,16,12899270 ns
Matrice 10x10000,2,12447340 ns
Matrice 10x10000,4,13904290 ns
Matrice 10x10000,8,15274360 ns
Matrice 10x10000,16,15345360 ns
Matrice 10000x10,secvential,9323560 ns
Matrice 10000x10,2,19382070 ns
Matrice 10000x10,4,20903350 ns
Matrice 10000x10,8,17788820 ns
Matrice 10000x10,16,18095200 ns
Matrice 10000x10,2,15406850 ns
Matrice 10000x10,4,15768460 ns
Matrice 10000x10,8,16448360 ns
Matrice 10000x10,16,12903780 ns
Matrice 10000x10000,secvential,3620772960 ns
Matrice 10000x10000,2,1906509700 ns
Matrice 10000x10000,4,1070517900 ns
Matrice 10000x10000,8,788225390 ns
Matrice 10000x10000,16,683378090 ns
Matrice 10000x10000,2,2017023420 ns
Matrice 10000x10000,4,1099330990 ns
Matrice 10000x10000,8,795856150 ns
Matrice 10000x10000,16,687997870 ns
Matrice 10x10,secvential,166550 ns
